State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
AL,1999,195,4430141,4.4,3.8,5,0.3
AL,2000,232,4447100,5.2,4.5,5.9,0.3
AL,2001,253,4467634,5.7,5,6.4,0.4
AL,2002,248,4480089,5.5,4.8,6.2,0.4
AL,2003,255,4503491,5.7,5,6.4,0.4
AL,2004,327,4530729,7.2,6.4,8,0.4
AL,2005,332,4569805,7.3,6.5,8,0.4
AL,2006,466,4628981,10.1,9.2,11,0.5
AL,2007,554,4672840,11.9,10.9,12.8,0.5
AL,2008,646,4718206,13.7,12.6,14.7,0.5
AL,2009,688,4757938,14.5,13.4,15.5,0.6
AL,2010,585,4779736,12.2,11.2,13.2,0.5
AL,2011,605,4802740,12.6,11.6,13.6,0.5
AL,2012,632,4822023,13.1,12.1,14.1,0.5
AL,2013,648,4833722,13.4,12.4,14.4,0.5
AL,2014,800,4849377,16.5,15.4,17.6,0.6
AL,2015,810,4858979,16.7,15.5,17.8,0.6
AK,1999,56,624779,9,6.8,11.6,1.2
AK,2000,54,626932,8.6,6.5,11.2,1.2
AK,2001,72,633714,11.4,8.9,14.3,1.3
AK,2002,85,642337,13.2,10.6,16.4,1.4
AK,2003,86,648414,13.3,10.6,16.4,1.4
AK,2004,92,659286,14,11.2,17.1,1.5
AK,2005,85,666946,12.7,10.2,15.8,1.4
AK,2006,85,675302,12.6,10.1,15.6,1.4
AK,2007,75,680300,11,8.7,13.8,1.3
AK,2008,132,687455,19.2,15.9,22.5,1.7
AK,2009,133,698895,19,15.8,22.3,1.7
AK,2010,84,710231,11.8,9.4,14.6,1.3
AK,2011,107,722718,14.8,12,17.6,1.4
AK,2012,132,731449,18,15,21.1,1.6
AK,2013,110,735132,15,12.2,17.8,1.4
AK,2014,127,736732,17.2,14.2,20.2,1.5
AK,2015,127,738432,17.2,14.2,20.2,1.5
AZ,1999,557,5023823,11.1,10.2,12,0.5
AZ,2000,559,5130632,10.9,10,11.8,0.5
AZ,2001,598,5273477,11.3,10.4,12.2,0.5
AZ,2002,667,5396255,12.4,11.4,13.3,0.5
AZ,2003,739,5510364,13.4,12.4,14.4,0.5
AZ,2004,803,5652404,14.2,13.2,15.2,0.5
AZ,2005,849,5839077,14.5,13.6,15.5,0.5
AZ,2006,959,6029141,15.9,14.9,16.9,0.5
AZ,2007,981,6167681,15.9,14.9,16.9,0.5
AZ,2008,853,6280362,13.6,12.7,14.5,0.5
AZ,2009,1041,6343154,16.4,15.4,17.4,0.5
AZ,2010,1141,6392017,17.9,16.8,18.9,0.5
AZ,2011,1118,6482505,17.2,16.2,18.3,0.5
AZ,2012,1206,6553255,18.4,17.4,19.4,0.5
AZ,2013,1304,6626624,19.7,18.6,20.7,0.5
AZ,2014,1274,6731484,18.9,17.9,20,0.5
AZ,2015,1351,6828065,19.8,18.7,20.8,0.5
AR,1999,121,2651860,4.6,3.7,5.4,0.4
AR,2000,151,2673400,5.6,4.7,6.5,0.5
AR,2001,131,2691571,4.9,4,5.7,0.4
AR,2002,190,2705927,7,6,8,0.5
AR,2003,203,2724816,7.5,6.4,8.5,0.5
AR,2004,249,2749686,9.1,7.9,10.2,0.6
AR,2005,286,2781097,10.3,9.1,11.5,0.6
AR,2006,307,2821761,10.9,9.7,12.1,0.6
AR,2007,326,2848650,11.4,10.2,12.7,0.6
AR,2008,390,2874554,13.6,12.2,14.9,0.7
AR,2009,384,2896843,13.3,11.9,14.6,0.7
AR,2010,374,2915918,12.8,11.5,14.1,0.7
AR,2011,375,2937979,12.8,11.5,14.1,0.7
AR,2012,398,2949131,13.5,12.2,14.8,0.7
AR,2013,343,2959373,11.6,10.4,12.8,0.6
AR,2014,377,2966369,12.7,11.4,14,0.7
AR,2015,425,2978204,14.3,12.9,15.6,0.7
CA,1999,3091,33499204,9.2,8.9,9.6,0.2
CA,2000,2301,33871648,6.8,6.5,7.1,0.1
CA,2001,1507,34479458,4.4,4.2,4.6,0.1
CA,2002,3418,34871843,9.8,9.5,10.1,0.2
CA,2003,3614,35253159,10.3,9.9,10.6,0.2
CA,2004,3681,35574576,10.3,10,10.7,0.2
CA,2005,3821,35827943,10.7,10.3,11,0.2
CA,2006,4026,36021202,11.2,10.8,11.5,0.2
CA,2007,4178,36250311,11.5,11.2,11.9,0.2
CA,2008,4147,36604337,11.3,11,11.7,0.2
CA,2009,4290,36961229,11.6,11.3,12,0.2
CA,2010,4258,37253956,11.4,11.1,11.8,0.2
CA,2011,4429,37691912,11.8,11.4,12.1,0.2
CA,2012,4304,38041430,11.3,11,11.7,0.2
CA,2013,4747,38332521,12.4,12,12.7,0.2
CA,2014,4816,38802500,12.4,12.1,12.8,0.2
CA,2015,5025,39144818,12.8,12.5,13.2,0.2
CO,1999,375,4226018,8.9,8,9.8,0.5
CO,2000,372,4301261,8.6,7.8,9.5,0.4
CO,2001,444,4425687,10,9.1,11,0.5
CO,2002,474,4490406,10.6,9.6,11.5,0.5
CO,2003,529,4528732,11.7,10.7,12.7,0.5
CO,2004,548,4575013,12,11,13,0.5
CO,2005,640,4631888,13.8,12.7,14.9,0.5
CO,2006,660,4720423,14,12.9,15,0.5
CO,2007,747,4803868,15.5,14.4,16.7,0.6
CO,2008,760,4889730,15.5,14.4,16.6,0.6
CO,2009,784,4972195,15.8,14.7,16.9,0.6
CO,2010,676,5029196,13.4,12.4,14.5,0.5
CO,2011,852,5116796,16.7,15.5,17.8,0.6
CO,2012,826,5187582,15.9,14.8,17,0.6
CO,2013,864,5268367,16.4,15.3,17.5,0.6
CO,2014,917,5355866,17.1,16,18.2,0.6
CO,2015,893,5456574,16.4,15.3,17.4,0.5
CT,1999,330,3386401,9.7,8.7,10.8,0.5
CT,2000,336,3405565,9.9,8.8,10.9,0.5
CT,2001,326,3432835,9.5,8.5,10.5,0.5
CT,2002,377,3458749,10.9,9.8,12,0.6
CT,2003,338,3484336,9.7,8.7,10.7,0.5
CT,2004,360,3496094,10.3,9.2,11.4,0.5
CT,2005,352,3506956,10,9,11.1,0.5
CT,2006,458,3517460,13,11.8,14.2,0.6
CT,2007,444,3527270,12.6,11.4,13.8,0.6
CT,2008,397,3545579,11.2,10.1,12.3,0.6
CT,2009,397,3561807,11.1,10,12.2,0.6
CT,2010,372,3574097,10.4,9.4,11.5,0.5
CT,2011,416,3580709,11.6,10.5,12.7,0.6
CT,2012,451,3590347,12.6,11.4,13.7,0.6
CT,2013,600,3596080,16.7,15.3,18,0.7
CT,2014,639,3596677,17.8,16.4,19.1,0.7
CT,2015,827,3590886,23,21.5,24.6,0.8
DE,1999,55,774990,7.1,5.3,9.2,1
DE,2000,60,783600,7.7,5.8,9.9,1
DE,2001,70,795699,8.8,6.9,11.1,1.1
DE,2002,85,806169,10.5,8.4,13,1.1
DE,2003,88,818003,10.8,8.6,13.3,1.1
DE,2004,92,830803,11.1,8.9,13.6,1.2
DE,2005,67,845150,7.9,6.1,10.1,1
DE,2006,83,859268,9.7,7.7,12,1.1
DE,2007,102,871749,11.7,9.4,14,1.2
DE,2008,125,883874,14.1,11.7,16.6,1.3
DE,2009,139,891730,15.6,13,18.2,1.3
DE,2010,147,897934,16.4,13.7,19,1.4
DE,2011,166,907135,18.3,15.5,21.1,1.4
DE,2012,150,917092,16.4,13.7,19,1.3
DE,2013,170,925749,18.4,15.6,21.1,1.4
DE,2014,204,935614,21.8,18.8,24.8,1.5
DE,2015,208,945934,22,19,25,1.5
DC,1999,55,570213,9.6,7.3,12.6,1.3
DC,2000,84,572059,14.7,11.7,18.2,1.6
DC,2001,111,574504,19.3,15.7,22.9,1.8
DC,2002,70,573158,12.2,9.5,15.4,1.5
DC,2003,119,568502,20.9,17.2,24.7,1.9
